experiment,method,N,selected_real_utility,selected_semantic_score,selected_physical_feasibility,exact_selected_utility,mc_selected_utility_mean,mc_ci_low,mc_ci_high,exact_law_prediction_error,semantic_real_tail_gap,top_score_tail_real_utility,overall_rank_correlation,tail_rank_correlation,high_N_regret,oracle_minus_method_gap,violation_rate,wrong_object_rate,wrong_target_rate,collision_rate,unreachable_rate,fragile_rate,stability_failure_rate,instruction_satisfaction_proxy,physical_success,calibration_improvement,marginal_value_per_added_candidate,deployment_gate,seed_count,pool_count
rendered_visual_simulator,raw_semantic,1,0.5835872395833334,0.8757523818304457,0.3564453125,0.5835872395833334,0.5835520833333334,0.5713875930607906,0.5957165736058763,3.515624999994582e-05,0.29216514224711226,0.5835872395833334,-0.022124233504654284,-0.022124233504654284,0.0,0.0,0.6435546875,0.22135416666666666,0.1298828125,0.541015625,0.4951171875,0.16373697916666666,0.24576822916666666,0.8757523818304457,0.5835872395833334,0.0,0.0,allow_high_n,3,24
rendered_visual_simulator,raw_semantic,2,0.5718237368766405,0.9265978041231365,0.26632730479002625,0.5718237368766405,0.5696736111111111,0.5589802918205585,0.5803669304016638,0.0021501257655293093,0.3703896589102473,0.5722721354166667,-0.022124233504654284,-0.47804525691166316,0.19913703658136483,0.19913703658136483,0.7336726952099738,0.11760273129921262,0.022468626968503935,0.6711829478346457,0.5723527723097114,0.23952694389763782,0.3699608349737533,0.9265978041231365,0.5718237368766405,0.0,-0.011763502706692908,collect_pilot_labels,3,24
rendered_visual_simulator,raw_semantic,4,0.5166038487376579,0.9518308056328105,0.11923562289088863,0.5166038487376579,0.5109652777777778,0.5024799618116673,0.5194505937438882,0.005638570959880074,0.5120358227577873,0.4532682291666667,-0.022124233504654284,0.00446921647969653,0.3958988058133359,0.3958988058133359,0.8807643771091115,0.032182984939382576,0.0005441858830146232,0.8569111712598426,0.6895716824459442,0.3111780675853018,0.5018149528183976,0.9518308056328105,0.5166038487376579,0.0,-0.0552198881389826,block_high_n,3,24
rendered_visual_simulator,raw_semantic,8,0.4651032726559643,0.9665164733718438,0.01911490416652318,0.4651032726559643,0.46262499999999995,0.45660425878675553,0.46864574121324437,0.002478272655964342,0.5146620400285739,0.4576302083333334,-0.022124233504654284,-0.08755520467234423,0.5163821114984991,0.5163821114984991,0.9808850958334768,0.004121322720952145,3.0397908796195035e-07,0.9736797811463059,0.7887605793579814,0.3292999358796543,0.5666624428871988,0.9665164733718438,0.4651032726559643,0.0,-0.05150057608169356,block_high_n,3,24
rendered_visual_simulator,raw_semantic,16,0.4528902202883896,0.9738275875192949,0.0004572516341411206,0.4528902202883896,0.4499791666666667,0.44449182175061736,0.45546651158271606,0.002911053621722892,0.5253924214406956,0.4512500000000001,-0.022124233504654284,-0.03859449015219742,0.5457091121487698,0.5457091121487698,0.999542748365859,0.00012220486053618574,3.8224494851523906e-14,0.9949964074854992,0.813989341562554,0.3204647973471293,0.5826666524034742,0.9738275875192949,0.4528902202883896,0.0,-0.012213052367574695,block_high_n,3,24
rendered_visual_simulator,raw_semantic,32,0.4518398286664323,0.9782937995402335,2.555287547191836e-07,0.4518398286664323,0.45433680555555556,0.44858530445609107,0.46008830665502004,0.002496976889123259,0.5256998274294834,0.45275,-0.022124233504654284,-0.05055267619144938,0.5481462894598219,0.5481462894598219,0.9999997444712453,1.0011410311768632e-07,0.0,0.9940405532582091,0.8083712494361581,0.3280501539841812,0.5994173369633903,0.9782937995402335,0.4518398286664323,0.0,-0.0010503916219573028,block_high_n,3,24
rendered_visual_simulator,raw_semantic,64,0.4509809217113294,0.981942637959369,1.418699983299753e-15,0.4509809217113294,0.4522881944444445,0.4464266401857488,0.45814974870314024,0.0013072727331150946,0.5256998274294834,0.45275,-0.022124233504654284,-0.05055267619144938,0.5490190778302888,0.5490190778302888,0.9999999999999986,4.2603010165041275e-16,0.0,0.9947506521194143,0.8043422342993894,0.3370209880776918,0.6165765704435803,0.981942637959369,0.4509809217113294,0.0,-0.0008589069551028783,block_high_n,3,24
rendered_visual_simulator,raw_semantic,128,0.44583333333333347,0.9848929135061849,0.0,0.44583333333333347,0.44583333333333336,0.4402128474259814,0.45145381924068534,1.1102230246251565e-16,0.5256998274294834,0.45275,-0.022124233504654284,-0.05055267619144938,0.5541666666666665,0.5541666666666665,1.0,0.0,0.0,1.0,0.8333333333333334,0.2916666666666667,0.625,0.9848929135061849,0.44583333333333347,0.0,-0.005147588377995949,block_high_n,3,24
rendered_visual_simulator,semantic_plus_physical,1,0.5835872395833334,0.8757523818304457,0.3564453125,0.5835872395833334,0.5864375000000001,0.5743380413530133,0.5985369586469869,0.0028502604166666945,0.29216514224711226,0.5835872395833334,0.8105718418937337,0.8105718418937337,0.0,0.0,0.6435546875,0.22135416666666666,0.1298828125,0.541015625,0.4951171875,0.16373697916666666,0.24576822916666666,0.8757523818304457,0.5835872395833334,0.0,0.0,allow_high_n,3,24
rendered_visual_simulator,semantic_plus_physical,2,0.7385767050114831,0.8984964293654283,0.5833282070209974,0.7385767050114831,0.737642361111111,0.7267587798523952,0.7485259423698268,0.0009343439003720588,0.07895972690124757,0.8145768229166667,0.8105718418937337,0.842885725638645,0.032384068446522196,0.032384068446522196,0.41667179297900264,0.07486979166666667,0.11292240813648295,0.379762344160105,0.32389579232283466,0.13324311023622049,0.20767460219816272,0.8984964293654283,0.7385767050114831,0.16675296813484264,0.15498946542814973,allow_high_n,3,24
