experiment,method,N,seed,selected_real_utility,violation_rate
grounding_calibration_repair,raw_semantic,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,raw_semantic,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,raw_semantic,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,raw_semantic,2,1,0.402972748523622,0.7607498769685039
grounding_calibration_repair,raw_semantic,2,2,0.3999199013697507,0.7678549458661418
grounding_calibration_repair,raw_semantic,2,3,0.4302590838254593,0.7125215305118111
grounding_calibration_repair,raw_semantic,4,1,0.29672358347784655,0.8834237790588677
grounding_calibration_repair,raw_semantic,4,2,0.28901705831692914,0.8888700318710161
grounding_calibration_repair,raw_semantic,4,3,0.3024505884030121,0.8529404293213348
grounding_calibration_repair,raw_semantic,8,1,0.22032340053596827,0.9760918560443352
grounding_calibration_repair,raw_semantic,8,2,0.19849548785891435,0.9794479691452449
grounding_calibration_repair,raw_semantic,8,3,0.20002598748997674,0.9641005345800637
grounding_calibration_repair,raw_semantic,16,1,0.21119749065690374,0.9889857375269878
grounding_calibration_repair,raw_semantic,16,2,0.1655483615966059,0.9959282542034238
grounding_calibration_repair,raw_semantic,16,3,0.17563690170891305,0.9831767897677605
grounding_calibration_repair,raw_semantic,32,1,0.2082769987892485,0.9866066057049003
grounding_calibration_repair,raw_semantic,32,2,0.15090017915027293,0.9987604230333416
grounding_calibration_repair,raw_semantic,32,3,0.1836916273886502,0.9687464460004709
grounding_calibration_repair,raw_semantic,64,1,0.18481825561247772,0.9921889763779528
grounding_calibration_repair,raw_semantic,64,2,0.13590470115175346,0.9999791060620592
grounding_calibration_repair,raw_semantic,64,3,0.2085930413755766,0.937499999997593
grounding_calibration_repair,raw_semantic,128,1,0.13124999999999998,1.0
grounding_calibration_repair,raw_semantic,128,2,0.08437499999999996,1.0
grounding_calibration_repair,raw_semantic,128,3,0.23958333333333334,0.875
grounding_calibration_repair,semantic_plus_physical,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,semantic_plus_physical,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,semantic_plus_physical,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,semantic_plus_physical,2,1,0.6102944681963582,0.5691590797244095
grounding_calibration_repair,semantic_plus_physical,2,2,0.5992984641568242,0.575818159448819
grounding_calibration_repair,semantic_plus_physical,2,3,0.651147781332021,0.49543245570866146
grounding_calibration_repair,semantic_plus_physical,4,1,0.7302509048185384,0.37388992782152236
grounding_calibration_repair,semantic_plus_physical,4,2,0.7218922744031997,0.37866885779902515
grounding_calibration_repair,semantic_plus_physical,4,3,0.7771918427188789,0.29957570538057743
grounding_calibration_repair,semantic_plus_physical,8,1,0.8107324474408353,0.23227579585581176
grounding_calibration_repair,semantic_plus_physical,8,2,0.805964120412334,0.23592625662757705
grounding_calibration_repair,semantic_plus_physical,8,3,0.8472990282072297,0.18420656537954186
grounding_calibration_repair,semantic_plus_physical,16,1,0.8519381812336784,0.17445779539051143
grounding_calibration_repair,semantic_plus_physical,16,2,0.8430425000095045,0.18477365153095882
grounding_calibration_repair,semantic_plus_physical,16,3,0.8687874109517579,0.15443643259004536
grounding_calibration_repair,semantic_plus_physical,32,1,0.8779122381626343,0.1436329227715319
grounding_calibration_repair,semantic_plus_physical,32,2,0.84840254187511,0.17834996474667839
grounding_calibration_repair,semantic_plus_physical,32,3,0.868061715176333,0.15522154078178427
grounding_calibration_repair,semantic_plus_physical,64,1,0.9262072172518632,0.08681503852722261
grounding_calibration_repair,semantic_plus_physical,64,2,0.869220184312282,0.15385860669143306
grounding_calibration_repair,semantic_plus_physical,64,3,0.8813234044545852,0.13961952417107637
grounding_calibration_repair,semantic_plus_physical,128,1,1.0,0.0
grounding_calibration_repair,semantic_plus_physical,128,2,0.89375,0.125
grounding_calibration_repair,semantic_plus_physical,128,3,1.0,0.0
grounding_calibration_repair,calibrated,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,calibrated,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,calibrated,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,calibrated,2,1,0.6858037032480315,0.5494279035433072
grounding_calibration_repair,calibrated,2,2,0.6748838249466864,0.5606237696850394
grounding_calibration_repair,calibrated,2,3,0.7197389938074147,0.47448634350393704
grounding_calibration_repair,calibrated,4,1,0.8755052622328459,0.30248013920134986
grounding_calibration_repair,calibrated,4,2,0.865785160497516,0.3214860056555431
grounding_calibration_repair,calibrated,4,3,0.9019994396533767,0.23046025887389077
grounding_calibration_repair,calibrated,8,1,0.9740556336812369,0.09492143062219166
grounding_calibration_repair,calibrated,8,2,0.9688222467824585,0.11968514957744113
grounding_calibration_repair,calibrated,8,3,0.9838824723165368,0.06621129839630259
grounding_calibration_repair,calibrated,16,1,0.9982972817334596,0.019480549286096653
grounding_calibration_repair,calibrated,16,2,0.9967812005804406,0.044044537389825375
grounding_calibration_repair,calibrated,16,3,0.9981947908158498,0.031541800858372375
grounding_calibration_repair,calibrated,32,1,0.9999935781024589,0.01925506170056069
grounding_calibration_repair,calibrated,32,2,0.9994723884383583,0.04814359749458001
grounding_calibration_repair,calibrated,32,3,0.997972725211819,0.048640361384626574
grounding_calibration_repair,calibrated,64,1,0.9999999999977867,0.024279527574155853
grounding_calibration_repair,calibrated,64,2,0.9994795139784894,0.06156467500197603
grounding_calibration_repair,calibrated,64,3,0.9969515461951322,0.07316289131670042
grounding_calibration_repair,calibrated,128,1,1.0,0.025
grounding_calibration_repair,calibrated,128,2,0.9994791666666667,0.06666666666666667
grounding_calibration_repair,calibrated,128,3,0.9965277777777777,0.08333333333333333
grounding_calibration_repair,grounded_combined,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,grounded_combined,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,grounded_combined,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,grounded_combined,2,1,0.614787552801017,0.5494894192913387
grounding_calibration_repair,grounded_combined,2,2,0.6069857539780183,0.5593165600393701
grounding_calibration_repair,grounded_combined,2,3,0.6587072978182414,0.47364050196850394
grounding_calibration_repair,grounded_combined,4,1,0.7936186387346114,0.3021644520997375
grounding_calibration_repair,grounded_combined,4,2,0.7856091427048182,0.31568467613423323
grounding_calibration_repair,grounded_combined,4,3,0.8395392543705475,0.22565742172853392
grounding_calibration_repair,grounded_combined,8,1,0.9428615639931296,0.0915660066538952
grounding_calibration_repair,grounded_combined,8,2,0.9355358390942592,0.10357484383950075
grounding_calibration_repair,grounded_combined,8,3,0.9656941962817435,0.051683099614689504
grounding_calibration_repair,grounded_combined,16,1,0.9955980488358657,0.00840609251131999
grounding_calibration_repair,grounded_combined,16,2,0.9931003964372898,0.012441071360362528
grounding_calibration_repair,grounded_combined,16,3,0.9984457529688626,0.002733059257892278
grounding_calibration_repair,grounded_combined,32,1,0.999974114425844,6.13233199576406e-05
grounding_calibration_repair,grounded_combined,32,2,0.9999020026073272,0.00020670069189311177
grounding_calibration_repair,grounded_combined,32,3,0.9999972838102671,6.378234561200921e-06
grounding_calibration_repair,grounded_combined,64,1,0.999999999825221,3.7102995070240987e-10
grounding_calibration_repair,grounded_combined,64,2,0.9999999966989452,8.551369296670269e-09
grounding_calibration_repair,grounded_combined,64,3,0.9999999999990434,2.472331559906263e-12
grounding_calibration_repair,grounded_combined,128,1,1.0,0.0
grounding_calibration_repair,grounded_combined,128,2,1.0,0.0
grounding_calibration_repair,grounded_combined,128,3,1.0,0.0
grounding_calibration_repair,random,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,random,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,random,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,random,2,1,0.4689358288221785,0.733283095472441
grounding_calibration_repair,random,2,2,0.45185713480150924,0.7539677657480315
grounding_calibration_repair,random,2,3,0.5046586644931104,0.6753660187007874
grounding_calibration_repair,random,4,1,0.46256760248718914,0.7395337457817774
grounding_calibration_repair,random,4,2,0.4430162158441132,0.7706762279715036
grounding_calibration_repair,random,4,3,0.4960420413268654,0.6761839965316836
grounding_calibration_repair,random,8,1,0.45158383302236604,0.7493589685705195
grounding_calibration_repair,random,8,2,0.43532371946360604,0.7851905230319519
grounding_calibration_repair,random,8,3,0.4774387483121666,0.6882517786772451
grounding_calibration_repair,random,16,1,0.42487383219265173,0.7612965226408104
grounding_calibration_repair,random,16,2,0.4212195642015807,0.8078105876716859
grounding_calibration_repair,random,16,3,0.4522169572407048,0.7096534485770658
grounding_calibration_repair,random,32,1,0.3946294287020852,0.7580087081439433
grounding_calibration_repair,random,32,2,0.39429145492143003,0.8486340242809689
grounding_calibration_repair,random,32,3,0.41403187021035015,0.744300468191673
grounding_calibration_repair,random,64,1,0.4218302394524721,0.7056374313493703
grounding_calibration_repair,random,64,2,0.3575325857687899,0.9094154341893728
grounding_calibration_repair,random,64,3,0.3461885134829529,0.8060847885029403
grounding_calibration_repair,random,128,1,0.621875,0.5
grounding_calibration_repair,random,128,2,0.2625,1.0
grounding_calibration_repair,random,128,3,0.23541666666666664,0.875
grounding_calibration_repair,oracle,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,oracle,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,oracle,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,oracle,2,1,0.6877992484826116,0.5492125984251969
grounding_calibration_repair,oracle,2,2,0.676918394233924,0.5596395177165354
grounding_calibration_repair,oracle,2,3,0.7215132105068898,0.47273314468503935
grounding_calibration_repair,oracle,4,1,0.8774171816413574,0.30143329349456316
grounding_calibration_repair,oracle,4,2,0.8679970787831208,0.31717736650106243
grounding_calibration_repair,oracle,4,3,0.9037551783566118,0.22357153402699667
grounding_calibration_repair,oracle,8,1,0.9746877241212618,0.09150723492924046
grounding_calibration_repair,oracle,8,2,0.9702501280846082,0.10778211977577723
grounding_calibration_repair,oracle,8,3,0.9849441311740896,0.04992116853201202
grounding_calibration_repair,oracle,16,1,0.9983617412500123,0.011146687449095454
grounding_calibration_repair,oracle,16,2,0.99743933249314,0.019850804588509838
grounding_calibration_repair,oracle,16,3,0.9994347825026937,0.0023867111000765453
grounding_calibration_repair,oracle,32,1,0.9999940595402841,0.004063045427728363
grounding_calibration_repair,oracle,32,2,0.9999717431362195,0.008811398329146538
grounding_calibration_repair,oracle,32,3,0.9999993505403517,3.2386890021257473e-06
grounding_calibration_repair,oracle,64,1,0.999999999998181,0.00403225807960209
grounding_calibration_repair,oracle,64,2,0.9999999995668831,0.008658012062320215
grounding_calibration_repair,oracle,64,3,0.9999999999999956,3.707888843475021e-14
grounding_calibration_repair,oracle,128,1,1.0,0.004032258064516129
grounding_calibration_repair,oracle,128,2,1.0,0.008658008658008658
grounding_calibration_repair,oracle,128,3,1.0,0.0
grounding_calibration_repair,torch_semantic,1,1,0.4658447265625,0.7412109375
grounding_calibration_repair,torch_semantic,1,2,0.4575439453125,0.7470703125
grounding_calibration_repair,torch_semantic,1,3,0.49473470052083335,0.6875
grounding_calibration_repair,torch_semantic,2,1,0.40744731432496717,0.7530911663385828
grounding_calibration_repair,torch_semantic,2,2,0.390626922367126,0.7774206446850394
grounding_calibration_repair,torch_semantic,2,3,0.4366580672777231,0.7066929133858268
grounding_calibration_repair,torch_semantic,4,1,0.29986163199326643,0.8728199053243344
grounding_calibration_repair,torch_semantic,4,2,0.2752210944335083,0.8957258038057743
grounding_calibration_repair,torch_semantic,4,3,0.31700994279198175,0.8435462246906638
grounding_calibration_repair,torch_semantic,8,1,0.21437310986435992,0.9762998422542656
grounding_calibration_repair,torch_semantic,8,2,0.1942197148163916,0.9742348547160044
