experiment,method,N,seed_level_variance
semantic_distractors_object_binding,grounded_combined,1,0.0001395488447613191
semantic_distractors_object_binding,grounded_combined,2,0.000506664446377529
semantic_distractors_object_binding,grounded_combined,4,0.0008982418772401423
semantic_distractors_object_binding,grounded_combined,8,0.0006195931401607125
semantic_distractors_object_binding,grounded_combined,16,7.754969969415472e-05
semantic_distractors_object_binding,grounded_combined,32,3.0729567097637654e-07
semantic_distractors_object_binding,grounded_combined,64,4.611579876163133e-13
semantic_distractors_object_binding,grounded_combined,128,0.0
semantic_distractors_object_binding,oracle,1,0.0001395488447613191
semantic_distractors_object_binding,oracle,2,0.00025711932548696967
semantic_distractors_object_binding,oracle,4,0.00028091863216202873
semantic_distractors_object_binding,oracle,8,0.0001256598297167026
semantic_distractors_object_binding,oracle,16,1.2657548831181186e-05
semantic_distractors_object_binding,oracle,32,5.50974772845546e-08
semantic_distractors_object_binding,oracle,64,5.987876739361145e-14
semantic_distractors_object_binding,oracle,128,0.0
semantic_distractors_object_binding,random,1,0.0001395488447613191
semantic_distractors_object_binding,random,2,9.809801210028865e-05
semantic_distractors_object_binding,random,4,0.00022966262268786248
semantic_distractors_object_binding,random,8,0.001087852831339443
semantic_distractors_object_binding,random,16,0.004371901587192955
semantic_distractors_object_binding,random,32,0.011334823662700949
semantic_distractors_object_binding,random,64,0.017531442193054955
semantic_distractors_object_binding,random,128,0.020808376736111106
semantic_distractors_object_binding,raw_semantic,1,0.0001395488447613191
semantic_distractors_object_binding,raw_semantic,2,0.00013605038271338686
semantic_distractors_object_binding,raw_semantic,4,0.00010036039125504648
semantic_distractors_object_binding,raw_semantic,8,0.000386065361861704
semantic_distractors_object_binding,raw_semantic,16,0.001405192911395676
semantic_distractors_object_binding,raw_semantic,32,0.004506386801882188
semantic_distractors_object_binding,raw_semantic,64,0.010626177862939672
semantic_distractors_object_binding,raw_semantic,128,0.012995153356481479
semantic_distractors_object_binding,semantic_plus_physical,1,0.0001395488447613191
semantic_distractors_object_binding,semantic_plus_physical,2,0.00044491902460649913
semantic_distractors_object_binding,semantic_plus_physical,4,0.0007835386339001517
semantic_distractors_object_binding,semantic_plus_physical,8,0.0007924707446305579
semantic_distractors_object_binding,semantic_plus_physical,16,0.0006828950577010719
semantic_distractors_object_binding,semantic_plus_physical,32,0.0007662309223503707
semantic_distractors_object_binding,semantic_plus_physical,64,0.0009930264095434206
semantic_distractors_object_binding,semantic_plus_physical,128,0.0
