experiment,method,N,seed,selected_real_utility,violation_rate
rendered_visual_simulator,raw_semantic,1,1,0.580791015625,0.6533203125
rendered_visual_simulator,raw_semantic,1,2,0.57599609375,0.666015625
rendered_visual_simulator,raw_semantic,1,3,0.593974609375,0.611328125
rendered_visual_simulator,raw_semantic,2,1,0.5693917630413386,0.749261811023622
rendered_visual_simulator,raw_semantic,2,2,0.5637855253444882,0.7476624015748031
rendered_visual_simulator,raw_semantic,2,3,0.5822939222440945,0.7040938730314961
rendered_visual_simulator,raw_semantic,4,1,0.5216330525871766,0.8898819249156356
rendered_visual_simulator,raw_semantic,4,2,0.5064876336942258,0.8914981603862018
rendered_visual_simulator,raw_semantic,4,3,0.521690859931571,0.8609130460254969
rendered_visual_simulator,raw_semantic,8,1,0.4766679138634287,0.9838379730041515
rendered_visual_simulator,raw_semantic,8,2,0.45234229756513344,0.9844872961965941
rendered_visual_simulator,raw_semantic,8,3,0.4662996065393307,0.9743300182996849
rendered_visual_simulator,raw_semantic,16,1,0.46704941994268545,0.999726963971771
rendered_visual_simulator,raw_semantic,16,2,0.4349159957992139,0.999746169907535
rendered_visual_simulator,raw_semantic,16,3,0.4567052451232695,0.9991551112182707
rendered_visual_simulator,raw_semantic,32,1,0.45887888154807577,0.9999999593521736
rendered_visual_simulator,raw_semantic,32,2,0.4323164782974064,0.9999999716028267
rendered_visual_simulator,raw_semantic,32,3,0.4643241261538148,0.9999993024587355
rendered_visual_simulator,raw_semantic,64,1,0.4419235674773073,1.0
rendered_visual_simulator,raw_semantic,64,2,0.43187177334154647,1.0
rendered_visual_simulator,raw_semantic,64,3,0.4791474243151346,0.9999999999999957
rendered_visual_simulator,raw_semantic,128,1,0.4287500000000001,1.0
rendered_visual_simulator,raw_semantic,128,2,0.41375000000000006,1.0
rendered_visual_simulator,raw_semantic,128,3,0.49500000000000005,1.0
rendered_visual_simulator,semantic_plus_physical,1,1,0.580791015625,0.6533203125
rendered_visual_simulator,semantic_plus_physical,1,2,0.57599609375,0.666015625
rendered_visual_simulator,semantic_plus_physical,1,3,0.593974609375,0.611328125
rendered_visual_simulator,semantic_plus_physical,2,1,0.7367203647883859,0.4288416584645669
rendered_visual_simulator,semantic_plus_physical,2,2,0.715601470226378,0.4484959399606299
rendered_visual_simulator,semantic_plus_physical,2,3,0.7634082800196851,0.37267778051181105
rendered_visual_simulator,semantic_plus_physical,4,1,0.8808060618789839,0.18773466207349082
rendered_visual_simulator,semantic_plus_physical,4,2,0.857020094734252,0.2096524653168354
rendered_visual_simulator,semantic_plus_physical,4,3,0.9098154686914137,0.13728885451818523
rendered_visual_simulator,semantic_plus_physical,8,1,0.9710807408352771,0.03857246040631322
rendered_visual_simulator,semantic_plus_physical,8,2,0.9550580037196643,0.05043973570077291
rendered_visual_simulator,semantic_plus_physical,8,3,0.9847259852404189,0.017932030624663895
rendered_visual_simulator,semantic_plus_physical,16,1,0.99795108610646,0.0020440350269165207
rendered_visual_simulator,semantic_plus_physical,16,2,0.9891635869476141,0.0035463386949220023
rendered_visual_simulator,semantic_plus_physical,16,3,0.9994317425392384,0.00025495375951139663
rendered_visual_simulator,semantic_plus_physical,32,1,0.9999907207291647,6.146368133562821e-06
rendered_visual_simulator,semantic_plus_physical,32,2,0.993327255621081,1.624821527188506e-05
rendered_visual_simulator,semantic_plus_physical,32,3,0.9999990165458432,1.8394628163392464e-08
rendered_visual_simulator,semantic_plus_physical,64,1,0.9999999999915007,1.3150106959134954e-12
rendered_visual_simulator,semantic_plus_physical,64,2,0.9966785637623392,1.0775102275532106e-11
rendered_visual_simulator,semantic_plus_physical,64,3,0.9999999999999529,1.7080948167121278e-20
rendered_visual_simulator,semantic_plus_physical,128,1,1.0,0.0
rendered_visual_simulator,semantic_plus_physical,128,2,1.0,0.0
rendered_visual_simulator,semantic_plus_physical,128,3,1.0,0.0
rendered_visual_simulator,calibrated,1,1,0.580791015625,0.6533203125
rendered_visual_simulator,calibrated,1,2,0.57599609375,0.666015625
rendered_visual_simulator,calibrated,1,3,0.593974609375,0.611328125
rendered_visual_simulator,calibrated,2,1,0.7666245540108269,0.42916461614173235
rendered_visual_simulator,calibrated,2,2,0.7537776820866142,0.46675073818897644
rendered_visual_simulator,calibrated,2,3,0.7884261195866142,0.3728623277559055
rendered_visual_simulator,calibrated,4,1,0.9087527801602926,0.1885345894263217
rendered_visual_simulator,calibrated,4,2,0.8969935137795276,0.23068377390326208
rendered_visual_simulator,calibrated,4,3,0.9283337202380952,0.13774197365954255
rendered_visual_simulator,calibrated,8,1,0.9797593373563178,0.03919955184775386
rendered_visual_simulator,calibrated,8,2,0.9748254356111131,0.05824466374482681
rendered_visual_simulator,calibrated,8,3,0.9878374838661488,0.018270509716321628
rendered_visual_simulator,calibrated,16,1,0.9985340848942527,0.002113927166642103
rendered_visual_simulator,calibrated,16,2,0.9975629250849523,0.0044917290015186444
rendered_visual_simulator,calibrated,16,3,0.998140902271005,0.00028552885184061525
rendered_visual_simulator,calibrated,32,1,0.9999933028359784,6.249799105991785e-06
rendered_visual_simulator,calibrated,32,2,0.9999635750827041,4.909519813336813e-05
rendered_visual_simulator,calibrated,32,3,0.9974755822033065,4.016307669966676e-08
rendered_visual_simulator,calibrated,64,1,0.999999999994529,1.315143406314055e-12
rendered_visual_simulator,calibrated,64,2,0.9999999985286807,2.036544561812582e-09
rendered_visual_simulator,calibrated,64,3,0.9956610236220333,2.4941630793519038e-18
rendered_visual_simulator,calibrated,128,1,1.0,0.0
rendered_visual_simulator,calibrated,128,2,1.0,0.0
rendered_visual_simulator,calibrated,128,3,0.9925,0.0
rendered_visual_simulator,grounded_combined,1,1,0.580791015625,0.6533203125
rendered_visual_simulator,grounded_combined,1,2,0.57599609375,0.666015625
rendered_visual_simulator,grounded_combined,1,3,0.593974609375,0.611328125
rendered_visual_simulator,grounded_combined,2,1,0.7370417845718504,0.4289185531496063
rendered_visual_simulator,grounded_combined,2,2,0.7170026451771654,0.4485882135826772
rendered_visual_simulator,grounded_combined,2,3,0.7637978284940945,0.372677780511811
rendered_visual_simulator,grounded_combined,4,1,0.8808370241024559,0.1878844675665542
rendered_visual_simulator,grounded_combined,4,2,0.8600241674868767,0.20981991704161979
rendered_visual_simulator,grounded_combined,4,3,0.9099707277605924,0.13728885451818523
rendered_visual_simulator,grounded_combined,8,1,0.97109287569532,0.03864118580951861
rendered_visual_simulator,grounded_combined,8,2,0.9609119648658893,0.05050615689006048
rendered_visual_simulator,grounded_combined,8,3,0.984832658539853,0.017932030624663895
rendered_visual_simulator,grounded_combined,16,1,0.997965666789028,0.002046122129913346
rendered_visual_simulator,grounded_combined,16,2,0.9963947075236883,0.003547823135667
rendered_visual_simulator,grounded_combined,16,3,0.9994536469914143,0.00025495375951139663
rendered_visual_simulator,grounded_combined,32,1,0.9999911929054839,6.14645809540222e-06
rendered_visual_simulator,grounded_combined,32,2,0.9999591675148625,1.6248246990732877e-05
rendered_visual_simulator,grounded_combined,32,3,0.9999991502223379,1.8394628163392464e-08
rendered_visual_simulator,grounded_combined,64,1,0.9999999999939723,1.3150106959136317e-12
rendered_visual_simulator,grounded_combined,64,2,0.9999999986252316,1.077510227553211e-11
rendered_visual_simulator,grounded_combined,64,3,0.9999999999999696,1.7080948167121278e-20
rendered_visual_simulator,grounded_combined,128,1,1.0,0.0
rendered_visual_simulator,grounded_combined,128,2,1.0,0.0
rendered_visual_simulator,grounded_combined,128,3,1.0,0.0
rendered_visual_simulator,random,1,1,0.580791015625,0.6533203125
rendered_visual_simulator,random,1,2,0.57599609375,0.666015625
rendered_visual_simulator,random,1,3,0.593974609375,0.611328125
rendered_visual_simulator,random,2,1,0.581437623031496,0.6453001968503937
rendered_visual_simulator,random,2,2,0.5754855130413387,0.6674458661417323
rendered_visual_simulator,random,2,3,0.6010708353838583,0.5986251230314961
rendered_visual_simulator,random,4,1,0.5756237002015374,0.6509767997750282
rendered_visual_simulator,random,4,2,0.5702221091113611,0.6773953529246345
rendered_visual_simulator,random,4,3,0.5944616881092989,0.6054462879640045
