experiment,method,N,seed,selected_real_utility,violation_rate
semantic_distractors_object_binding,raw_semantic,1,1,0.403759765625,0.8212890625
semantic_distractors_object_binding,raw_semantic,1,2,0.40143229166666666,0.8203125
semantic_distractors_object_binding,raw_semantic,1,3,0.42295735677083335,0.7900390625
semantic_distractors_object_binding,raw_semantic,2,1,0.38891383694225723,0.7982437253937008
semantic_distractors_object_binding,raw_semantic,2,2,0.3839991131479659,0.7954140009842521
semantic_distractors_object_binding,raw_semantic,2,3,0.4062057855561024,0.7743294783464567
semantic_distractors_object_binding,raw_semantic,4,1,0.3559458592090051,0.8484913643607049
semantic_distractors_object_binding,raw_semantic,4,2,0.3387031647411261,0.8469610165916761
semantic_distractors_object_binding,raw_semantic,4,3,0.3561618356299212,0.8457668260217472
semantic_distractors_object_binding,raw_semantic,8,1,0.2928122369531442,0.9305948741003573
semantic_distractors_object_binding,raw_semantic,8,2,0.25501200647193534,0.936511224679655
semantic_distractors_object_binding,raw_semantic,8,3,0.28321550912039983,0.9437523211482083
semantic_distractors_object_binding,raw_semantic,16,1,0.25048409670737537,0.9633590879611101
semantic_distractors_object_binding,raw_semantic,16,2,0.1850040739077176,0.9804127233385826
semantic_distractors_object_binding,raw_semantic,16,3,0.24936454853635215,0.9792983546228011
semantic_distractors_object_binding,raw_semantic,32,1,0.2540956882006033,0.9449288090523228
semantic_distractors_object_binding,raw_semantic,32,2,0.13801589713075657,0.9886619881443792
semantic_distractors_object_binding,raw_semantic,32,3,0.2544790070973775,0.9686496316576012
semantic_distractors_object_binding,raw_semantic,64,1,0.2757833301800632,0.9060038669312531
semantic_distractors_object_binding,raw_semantic,64,2,0.10336985168654061,0.9961470793296366
semantic_distractors_object_binding,raw_semantic,64,3,0.2874731072867541,0.9374999875255918
semantic_distractors_object_binding,raw_semantic,128,1,0.26458333333333334,0.875
semantic_distractors_object_binding,raw_semantic,128,2,0.09479166666666666,1.0
semantic_distractors_object_binding,raw_semantic,128,3,0.3114583333333333,0.875
semantic_distractors_object_binding,semantic_plus_physical,1,1,0.403759765625,0.8212890625
semantic_distractors_object_binding,semantic_plus_physical,1,2,0.40143229166666666,0.8203125
semantic_distractors_object_binding,semantic_plus_physical,1,3,0.42295735677083335,0.7900390625
semantic_distractors_object_binding,semantic_plus_physical,2,1,0.4758343073326772,0.7034633366141733
semantic_distractors_object_binding,semantic_plus_physical,2,2,0.481906936925853,0.7000492125984252
semantic_distractors_object_binding,semantic_plus_physical,2,3,0.5150244525098425,0.6565883366141734
semantic_distractors_object_binding,semantic_plus_physical,4,1,0.5428813874828147,0.567521583239595
semantic_distractors_object_binding,semantic_plus_physical,4,2,0.5528251745875516,0.5596592613423322
semantic_distractors_object_binding,semantic_plus_physical,4,3,0.5955655092918073,0.5066285972065991
semantic_distractors_object_binding,semantic_plus_physical,8,1,0.6158686735829422,0.45478891034361696
semantic_distractors_object_binding,semantic_plus_physical,8,2,0.6236294975631447,0.44623640022929434
semantic_distractors_object_binding,semantic_plus_physical,8,3,0.6680423505512255,0.3935219074576783
semantic_distractors_object_binding,semantic_plus_physical,16,1,0.6782386332592283,0.37858014626642905
semantic_distractors_object_binding,semantic_plus_physical,16,2,0.6729507583312011,0.38480229328242604
semantic_distractors_object_binding,semantic_plus_physical,16,3,0.7206248407779079,0.32871567817773373
semantic_distractors_object_binding,semantic_plus_physical,32,1,0.7205041201132498,0.3288186960493678
semantic_distractors_object_binding,semantic_plus_physical,32,2,0.69573310014616,0.35796106109261216
semantic_distractors_object_binding,semantic_plus_physical,32,3,0.7509962289347836,0.2929456215407476
semantic_distractors_object_binding,semantic_plus_physical,64,1,0.7382585362559684,0.3079311338165079
semantic_distractors_object_binding,semantic_plus_physical,64,2,0.7063886409133018,0.345425128337292
