experiment,method,N,seed_level_variance
noisy_verifier_calibration_robustness,calib_10pct_noise20,1,0.00011202929814656468
noisy_verifier_calibration_robustness,calib_10pct_noise20,2,0.00033799689290325613
noisy_verifier_calibration_robustness,calib_10pct_noise20,4,0.00034341927099731484
noisy_verifier_calibration_robustness,calib_10pct_noise20,8,0.00013249023046409665
noisy_verifier_calibration_robustness,calib_10pct_noise20,16,4.221961019637425e-05
noisy_verifier_calibration_robustness,calib_10pct_noise20,32,7.672058217045769e-05
noisy_verifier_calibration_robustness,calib_10pct_noise20,64,0.0002472312993198964
noisy_verifier_calibration_robustness,calib_10pct_noise20,128,0.00074103275634583
noisy_verifier_calibration_robustness,calib_1pct_noise0,1,0.00011202929814656468
noisy_verifier_calibration_robustness,calib_1pct_noise0,2,0.0004016946597677491
noisy_verifier_calibration_robustness,calib_1pct_noise0,4,0.0004166263669722655
noisy_verifier_calibration_robustness,calib_1pct_noise0,8,0.00011235447757589073
noisy_verifier_calibration_robustness,calib_1pct_noise0,16,3.4281351513952895e-06
noisy_verifier_calibration_robustness,calib_1pct_noise0,32,1.4830635560779696e-09
noisy_verifier_calibration_robustness,calib_1pct_noise0,64,2.2612227369608064e-18
noisy_verifier_calibration_robustness,calib_1pct_noise0,128,0.0
noisy_verifier_calibration_robustness,calib_2pct_noise5,1,0.00011202929814656468
noisy_verifier_calibration_robustness,calib_2pct_noise5,2,0.0004051744574072726
noisy_verifier_calibration_robustness,calib_2pct_noise5,4,0.00039123860057836473
noisy_verifier_calibration_robustness,calib_2pct_noise5,8,9.458468320169848e-05
noisy_verifier_calibration_robustness,calib_2pct_noise5,16,2.576433398147892e-06
noisy_verifier_calibration_robustness,calib_2pct_noise5,32,1.2122585775713712e-09
noisy_verifier_calibration_robustness,calib_2pct_noise5,64,2.416103593457163e-18
noisy_verifier_calibration_robustness,calib_2pct_noise5,128,0.0
noisy_verifier_calibration_robustness,calib_5pct_noise10,1,0.00011202929814656468
noisy_verifier_calibration_robustness,calib_5pct_noise10,2,0.0004194819157103917
noisy_verifier_calibration_robustness,calib_5pct_noise10,4,0.0005243481290235347
noisy_verifier_calibration_robustness,calib_5pct_noise10,8,0.00035523602142487076
noisy_verifier_calibration_robustness,calib_5pct_noise10,16,0.00037399486156116084
noisy_verifier_calibration_robustness,calib_5pct_noise10,32,0.0007059773532103921
noisy_verifier_calibration_robustness,calib_5pct_noise10,64,0.0014726247497668134
noisy_verifier_calibration_robustness,calib_5pct_noise10,128,0.003038660046029789
noisy_verifier_calibration_robustness,grounded_combined,1,0.00011202929814656468
