experiment,method,N,seed,selected_real_utility,violation_rate
controlled_semantic_overselection,raw_semantic,1,1,0.4658447265625,0.447265625
controlled_semantic_overselection,raw_semantic,1,2,0.4575439453125,0.4580078125
controlled_semantic_overselection,raw_semantic,1,3,0.49473470052083335,0.4189453125
controlled_semantic_overselection,raw_semantic,2,1,0.397847076976706,0.6379183070866141
controlled_semantic_overselection,raw_semantic,2,2,0.39662624569389765,0.641240157480315
controlled_semantic_overselection,raw_semantic,2,3,0.42905119648129925,0.5986405019685039
controlled_semantic_overselection,raw_semantic,4,1,0.29349054616870807,0.8513344113235846
controlled_semantic_overselection,raw_semantic,4,2,0.2885936572381578,0.8541528637045369
controlled_semantic_overselection,raw_semantic,4,3,0.30811937091847896,0.8216702990251219
controlled_semantic_overselection,raw_semantic,8,1,0.2173171744184176,0.9677575029778095
controlled_semantic_overselection,raw_semantic,8,2,0.20330149063375927,0.9702036215629428
controlled_semantic_overselection,raw_semantic,8,3,0.21515579270028343,0.956240367510701
controlled_semantic_overselection,raw_semantic,16,1,0.2021564279795942,0.9844296753128516
controlled_semantic_overselection,raw_semantic,16,2,0.17816256669778588,0.994140421303491
controlled_semantic_overselection,raw_semantic,16,3,0.19162582972995446,0.9849994728174363
controlled_semantic_overselection,raw_semantic,32,1,0.212866560048047,0.9763301449643498
controlled_semantic_overselection,raw_semantic,32,2,0.1746120670325375,0.9986885850147438
controlled_semantic_overselection,raw_semantic,32,3,0.19214530760606965,0.9821147877137555
controlled_semantic_overselection,raw_semantic,64,1,0.23034372877516318,0.9685039353870173
controlled_semantic_overselection,raw_semantic,64,2,0.1628609603175373,0.9999791002570715
controlled_semantic_overselection,raw_semantic,64,3,0.19162061185719254,0.9842519563506646
controlled_semantic_overselection,raw_semantic,128,1,0.20451388888888888,1.0
controlled_semantic_overselection,raw_semantic,128,2,0.10624999999999997,1.0
controlled_semantic_overselection,raw_semantic,128,3,0.15520833333333334,1.0
controlled_semantic_overselection,semantic_plus_physical,1,1,0.4658447265625,0.447265625
controlled_semantic_overselection,semantic_plus_physical,1,2,0.4575439453125,0.4580078125
controlled_semantic_overselection,semantic_plus_physical,1,3,0.49473470052083335,0.4189453125
controlled_semantic_overselection,semantic_plus_physical,2,1,0.6102944681963582,0.21613558070866143
controlled_semantic_overselection,semantic_plus_physical,2,2,0.5992984641568242,0.22430179625984253
controlled_semantic_overselection,semantic_plus_physical,2,3,0.651147781332021,0.18957615649606302
controlled_semantic_overselection,semantic_plus_physical,4,1,0.7302509048185384,0.05733802024746906
controlled_semantic_overselection,semantic_plus_physical,4,2,0.7218922744031997,0.05851403730783652
controlled_semantic_overselection,semantic_plus_physical,4,3,0.7771918427188789,0.043461098612673416
controlled_semantic_overselection,semantic_plus_physical,8,1,0.8107324474408353,0.007123875307937423
controlled_semantic_overselection,semantic_plus_physical,8,2,0.805964120412334,0.005701016903369774
controlled_semantic_overselection,semantic_plus_physical,8,3,0.8472990282072297,0.0038531987387393617
controlled_semantic_overselection,semantic_plus_physical,16,1,0.8519381812336784,0.00023393673131692018
controlled_semantic_overselection,semantic_plus_physical,16,2,0.8430425000095045,8.37714767118756e-05
