semantic_physical_misalignment,distractor_salience,obstacle_density,hidden_constraint_rate,verifier_false_positive_rate,verifier_false_negative_rate,label_noise,label_budget_fraction,pilot_label_count,tail_label_count,confidence_radius,raw_high_n_utility,tailguard_utility,certified_tailguard_utility,oracle_high_n_utility,random_high_n_utility,verifier_filtered_high_n_utility,calibrated_high_n_no_certificates_utility,certificate_only_utility,tailguard_gain_over_raw,raw_violation_rate,tailguard_violation_rate,certified_violation_rate,verifier_filtered_violation_rate,calibrated_no_certificate_violation_rate,certificate_only_violation_rate,tailguard_selected_N_mean,certified_candidate_count_mean,fallback_rate,abstention_rate,tailguard_gate,allow_high_n_rate,stop_early_rate,collect_pilot_labels_rate,block_high_n_rate,certificate_failure_reach_envelope_rate,certificate_failure_swept_volume_collision_rate,certificate_failure_receptacle_compatibility_rate,certificate_failure_stability_margin_rate,certificate_failure_fragile_heavy_handling_rate,certificate_failure_tool_object_match_rate,certificate_failure_blocked_path_constraints_rate,certificate_failure_hidden_obstacle_rate
0.0,0.0,0.25,0.04,0.04,0.04,0.05,1.0,256,52,0.10907890197250972,0.4404181547619049,1.0,1.0,1.0,0.5758333333333333,0.7095833333333333,0.9366666666666666,1.0,0.5595818452380952,1.0,0.0,0.0,0.5,0.08333333333333333,0.0,6.583333333333333,18.416666666666668,1.0,0.0,block_high_n,0.08333333333333333,0.3333333333333333,0.0,0.5833333333333334,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.005208333333333333
0.0,0.3,0.385,0.04,0.082,0.04,0.05,1.0,256,52,0.1149564820379147,0.38773518185518197,1.0,1.0,1.0,0.5573833333333335,0.4248666666666667,0.8841666666666668,1.0,0.612264818144818,1.0,0.0,0.0,0.9166666666666666,0.20833333333333334,0.0,7.25,18.416666666666668,1.0,0.0,block_high_n,0.0,0.4166666666666667,0.0,0.5833333333333334,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.005208333333333333
0.0,0.6,0.52,0.04,0.124,0.04,0.05,1.0,256,81,0.08380152167851365,0.29360906924995794,1.0,1.0,1.0,0.5402666666666667,0.31240000000000007,0.9266330158730159,1.0,0.706390930750042,1.0,0.0,0.0,1.0,0.12103174603174605,0.0,14.666666666666666,18.416666666666668,1.0,0.0,allow_high_n,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.005208333333333333
0.0,0.9,0.655,0.04,0.16600000000000004,0.04,0.05,1.0,256,120,0.062382325871542424,0.2549843570626031,1.0,1.0,1.0,0.5308166666666667,0.29744166666666677,0.7894047619047618,1.0,0.7450156429373969,1.0,0.0,0.0,1.0,0.3504960317460317,0.0,14.666666666666666,18.416666666666668,0.9166666666666666,0.0,allow_high_n,0.75,0.25,0.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.005208333333333333
0.25,0.0,0.25,0.07,0.04,0.065,0.05,1.0,256,52,0.10372316337146406,0.08125000000000003,1.0,1.0,1.0,0.5758333333333333,0.455,0.9233333333333333,1.0,0.91875,1.0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,3.5,18.416666666666668,1.0,0.0,block_high_n,0.0,0.16666666666666666,0.0,0.8333333333333334,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.015625
0.25,0.3,0.385,0.07,0.082,0.065,0.05,1.0,256,52,0.09676824189248043,0.027344444444444446,1.0,1.0,1.0,0.5573833333333335,0.2286,1.0,1.0,0.9726555555555556,1.0,0.0,0.0,1.0,0.0,0.0,2.25,18.416666666666668,1.0,0.0,block_high_n,0.0,0.08333333333333333,0.0,0.9166666666666666,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.015625
0.25,0.6,0.52,0.07,0.124,0.065,0.05,1.0,256,52,0.09968451718773366,0.014483333333333346,1.0,1.0,1.0,0.5402666666666667,0.09523333333333338,1.0,1.0,0.9855166666666667,1.0,0.0,0.0,1.0,0.0,0.0,6.583333333333333,18.416666666666668,1.0,0.0,block_high_n,0.08333333333333333,0.3333333333333333,0.0,0.5833333333333334,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.015625
0.25,0.9,0.655,0.07,0.16600000000000004,0.065,0.05,1.0,256,70,0.07847613465138173,0.04742580948900032,1.0,1.0,1.0,0.5308166666666667,0.12630833333333338,0.9691666666666666,1.0,0.9525741905109997,1.0,0.0,0.0,1.0,0.041666666666666664,0.0,12.833333333333334,18.416666666666668,1.0,0.0,stop_early,0.0,0.8333333333333334,0.0,0.16666666666666666,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.015625
0.5,0.0,0.25,0.1,0.04,0.09,0.05,1.0,256,52,0.08932088605578355,0.03166666666666668,1.0,1.0,1.0,0.5758333333333333,0.24916666666666673,1.0,1.0,0.9683333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.022135416666666668
0.5,0.3,0.385,0.1,0.082,0.09,0.05,1.0,256,52,0.08629158440726922,0.033756455026455016,1.0,1.0,1.0,0.5573833333333335,0.15371666666666672,1.0,1.0,0.966243544973545,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.022135416666666668
0.5,0.6,0.52,0.1,0.124,0.09,0.05,1.0,256,52,0.08522575393794653,0.0014833333333333434,1.0,1.0,1.0,0.5402666666666667,0.04400000000000004,1.0,1.0,0.9985166666666666,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.022135416666666668
0.5,0.9,0.655,0.1,0.16600000000000004,0.09,0.05,1.0,256,70,0.06456847668864818,0.02874174836601312,1.0,1.0,1.0,0.5308166666666667,0.07216666666666671,1.0,1.0,0.9712582516339869,1.0,0.0,0.0,1.0,0.0,0.0,3.5,18.416666666666668,1.0,0.0,block_high_n,0.0,0.16666666666666666,0.0,0.8333333333333334,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.022135416666666668
0.75,0.0,0.25,0.13,0.04,0.11500000000000002,0.05,1.0,256,52,0.07674304129827958,0.0254166666666667,1.0,1.0,1.0,0.5758333333333333,0.15500000000000005,1.0,1.0,0.9745833333333334,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.03125
0.75,0.3,0.385,0.13,0.082,0.11500000000000002,0.05,1.0,256,52,0.0764892217996076,0.035079423076923064,1.0,1.0,1.0,0.5573833333333335,0.12494166666666669,1.0,1.0,0.964920576923077,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.03125
