semantic_physical_misalignment,distractor_salience,obstacle_density,hidden_constraint_rate,verifier_false_positive_rate,verifier_false_negative_rate,label_noise,label_budget_fraction,pilot_label_count,tail_label_count,confidence_radius,raw_high_n_utility,tailguard_utility,certified_tailguard_utility,oracle_high_n_utility,random_high_n_utility,verifier_filtered_high_n_utility,calibrated_high_n_no_certificates_utility,certificate_only_utility,tailguard_gain_over_raw,raw_violation_rate,tailguard_violation_rate,certified_violation_rate,verifier_filtered_violation_rate,calibrated_no_certificate_violation_rate,certificate_only_violation_rate,tailguard_selected_N_mean,certified_candidate_count_mean,fallback_rate,abstention_rate,tailguard_gate,allow_high_n_rate,stop_early_rate,collect_pilot_labels_rate,block_high_n_rate,certificate_failure_reach_envelope_rate,certificate_failure_swept_volume_collision_rate,certificate_failure_receptacle_compatibility_rate,certificate_failure_stability_margin_rate,certificate_failure_fragile_heavy_handling_rate,certificate_failure_tool_object_match_rate,certificate_failure_blocked_path_constraints_rate,certificate_failure_hidden_obstacle_rate,stress_family,focus_failure_rate_raw,focus_failure_rate_tailguard,focus_failure_reduction
0.45,0.2,0.7,0.04,0.08,0.08,0.05,0.5,160,32,0.1404866365368106,0.0681185185185185,1.0,1.0,1.0,0.5503333333333333,0.15983333333333336,0.9966666666666667,1.0,0.9318814814814815,1.0,0.0,0.0,1.0,0.011904761904761904,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4765625,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.0078125,reach_envelope,1.0,0.0,1.0
0.5,0.2,0.95,0.06,0.1,0.08,0.05,0.5,160,32,0.142127678514026,0.08750826719576721,1.0,1.0,1.0,0.5411666666666667,0.11575000000000006,0.9953333333333333,1.0,0.9124917328042328,1.0,0.0,0.0,1.0,0.016666666666666666,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.014322916666666666,swept_collision,1.0,0.0,1.0
0.35,0.1,0.35,0.05,0.06,0.06,0.05,0.5,160,32,0.15078491575737524,0.07887500000000001,1.0,1.0,1.0,0.5676666666666667,0.21250000000000002,1.0,1.0,0.921125,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4739583333333333,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.010416666666666666,receptacle_compatibility,0.0,0.0,0.0
0.55,0.15,0.45,0.08,0.08,0.08,0.05,0.5,160,32,0.13107622257807744,0.048500000000000036,1.0,1.0,1.0,0.5341666666666668,0.09700000000000003,0.9941666666666666,1.0,0.9515,1.0,0.0,0.0,1.0,0.020833333333333332,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4739583333333333,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.013020833333333334,stability_margin,0.20833333333333334,0.0,0.20833333333333334
0.5,0.2,0.4,0.08,0.1,0.08,0.05,0.5,160,32,0.13913171196796703,0.04983333333333332,1.0,1.0,1.0,0.5328333333333334,0.14066666666666666,0.9883333333333333,1.0,0.9501666666666667,1.0,0.0,0.0,1.0,0.041666666666666664,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.47265625,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.013020833333333334,fragile_heavy_handling,0.05555555555555555,0.0,0.05555555555555555
0.6,0.25,0.85,0.1,0.12,0.08,0.05,0.5,160,32,0.13255906163276227,0.05680674603174602,1.0,1.0,1.0,0.5425833333333334,0.08324999999999999,1.0,1.0,0.9431932539682539,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4778645833333333,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.016927083333333332,blocked_path,0.2755952380952381,0.0,0.2755952380952381
0.7,0.35,0.55,0.22,0.16,0.1,0.05,0.5,160,32,0.12590031298755983,0.023277728174603177,1.0,1.0,1.0,0.5233333333333334,0.03633333333333333,1.0,1.0,0.9767222718253968,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.48046875,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.048177083333333336,hidden_obstacles,0.407390873015873,0.0,0.407390873015873
0.75,0.6,0.65,0.18,0.28,0.06,0.05,0.5,160,32,0.12534977861465899,0.00020416666666667332,1.0,1.0,1.0,0.5115833333333334,0.044250000000000046,1.0,1.0,0.9997958333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4778645833333333,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.040364583333333336,verifier_false_positives_semantic_tail,1.0,0.0,1.0
0.65,0.35,0.65,0.3,0.18,0.16,0.05,0.5,160,32,0.12921960925042333,0.022405697818805248,1.0,1.0,1.0,0.5215000000000001,0.04325000000000002,1.0,1.0,0.9775943021811948,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4739583333333333,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.06380208333333333,partial_observation,0.4166726141150694,0.0,0.4166726141150694
0.85,0.95,0.45,0.14,0.18,0.1,0.05,0.5,160,49,0.0784756416266805,0.023068849206349246,1.0,1.0,1.0,0.5375833333333334,0.05541666666666672,1.0,1.0,0.9769311507936508,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,0.0,block_high_n,0.0,0.0,0.0,1.0,0.4713541666666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.028645833333333332,object_identity_spoofing,0.9258763227513228,0.0,0.9258763227513228
