experiment,method,N,seed_level_variance
controlled_semantic_overselection,grounded_combined,1,0.0003811143062732849
controlled_semantic_overselection,grounded_combined,2,0.0007774883607447791
controlled_semantic_overselection,grounded_combined,4,0.0008468853185521165
controlled_semantic_overselection,grounded_combined,8,0.00024742030846147754
controlled_semantic_overselection,grounded_combined,16,7.153420463804764e-06
controlled_semantic_overselection,grounded_combined,32,2.4692403963361405e-09
controlled_semantic_overselection,grounded_combined,64,3.4490771197647718e-18
controlled_semantic_overselection,grounded_combined,128,0.0
controlled_semantic_overselection,oracle,1,0.0003811143062732849
controlled_semantic_overselection,oracle,2,0.00054062031049587
controlled_semantic_overselection,oracle,4,0.0003435116823233665
controlled_semantic_overselection,oracle,8,5.6799978501918566e-05
controlled_semantic_overselection,oracle,16,9.97346030889774e-07
controlled_semantic_overselection,oracle,32,2.1469755583446343e-10
controlled_semantic_overselection,oracle,64,6.226792743910433e-20
controlled_semantic_overselection,oracle,128,0.0
controlled_semantic_overselection,random,1,0.0003811143062732849
controlled_semantic_overselection,random,2,0.0007259673859328467
controlled_semantic_overselection,random,4,0.0007190888239042622
controlled_semantic_overselection,random,8,0.00045109059875027047
controlled_semantic_overselection,random,16,0.00028697308952766235
controlled_semantic_overselection,random,32,0.0001277088264228467
controlled_semantic_overselection,random,64,0.0016640911588168123
controlled_semantic_overselection,random,128,0.04653899016203702
controlled_semantic_overselection,raw_semantic,1,0.0003811143062732849
controlled_semantic_overselection,raw_semantic,2,0.0003377608227739055
controlled_semantic_overselection,raw_semantic,4,0.00010320592158058975
controlled_semantic_overselection,raw_semantic,8,5.6939240061236384e-05
controlled_semantic_overselection,raw_semantic,16,0.0001446430550298888
controlled_semantic_overselection,raw_semantic,32,0.0003666985106078616
controlled_semantic_overselection,raw_semantic,64,0.001146753563205127
controlled_semantic_overselection,raw_semantic,128,0.0024139580118312767
controlled_semantic_overselection,semantic_plus_physical,1,0.0003811143062732849
controlled_semantic_overselection,semantic_plus_physical,2,0.0007463761650886872
controlled_semantic_overselection,semantic_plus_physical,4,0.0008885601015473866
controlled_semantic_overselection,semantic_plus_physical,8,0.0005114043956680842
controlled_semantic_overselection,semantic_plus_physical,16,0.00017097168765988177
controlled_semantic_overselection,semantic_plus_physical,32,0.00022572301216218263
controlled_semantic_overselection,semantic_plus_physical,64,0.0009014277520485094
controlled_semantic_overselection,semantic_plus_physical,128,0.00376302083333333
