experiment,method,N,seed,selected_real_utility,violation_rate
learned_vla_style,raw_semantic,1,1,0.4658447265625,0.447265625
learned_vla_style,raw_semantic,1,2,0.4575439453125,0.4580078125
learned_vla_style,raw_semantic,1,3,0.49473470052083335,0.4189453125
learned_vla_style,raw_semantic,2,1,0.402972748523622,0.6391486220472442
learned_vla_style,raw_semantic,2,2,0.3999199013697507,0.6434239665354331
learned_vla_style,raw_semantic,2,3,0.4302590838254593,0.599855437992126
learned_vla_style,raw_semantic,4,1,0.29672358347784655,0.85381094160105
learned_vla_style,raw_semantic,4,2,0.28901705831692914,0.8591428571428572
learned_vla_style,raw_semantic,4,3,0.3024505884030121,0.8242520505249344
learned_vla_style,raw_semantic,8,1,0.22032340053596827,0.9694842635436205
learned_vla_style,raw_semantic,8,2,0.19849548785891435,0.9731916747492669
learned_vla_style,raw_semantic,8,3,0.20002598748997674,0.9592174727096247
learned_vla_style,raw_semantic,16,1,0.21119749065690374,0.98613341533315
learned_vla_style,raw_semantic,16,2,0.1655483615966059,0.9944162652269614
learned_vla_style,raw_semantic,16,3,0.17563690170891305,0.9829524386572825
learned_vla_style,raw_semantic,32,1,0.2082769987892485,0.9859434519109571
learned_vla_style,raw_semantic,32,2,0.15090017915027293,0.9986818770509448
learned_vla_style,raw_semantic,32,3,0.1836916273886502,0.968746169527415
learned_vla_style,raw_semantic,64,1,0.18481825561247772,0.9921846597592969
learned_vla_style,raw_semantic,64,2,0.13590470115175346,0.9999790937922947
learned_vla_style,raw_semantic,64,3,0.2085930413755766,0.9374999999975919
learned_vla_style,raw_semantic,128,1,0.13124999999999998,1.0
learned_vla_style,raw_semantic,128,2,0.08437499999999996,1.0
learned_vla_style,raw_semantic,128,3,0.23958333333333334,0.875
learned_vla_style,semantic_plus_physical,1,1,0.4658447265625,0.447265625
learned_vla_style,semantic_plus_physical,1,2,0.4575439453125,0.4580078125
learned_vla_style,semantic_plus_physical,1,3,0.49473470052083335,0.4189453125
learned_vla_style,semantic_plus_physical,2,1,0.6102944681963582,0.21613558070866143
learned_vla_style,semantic_plus_physical,2,2,0.5992984641568242,0.22430179625984253
learned_vla_style,semantic_plus_physical,2,3,0.651147781332021,0.18957615649606302
learned_vla_style,semantic_plus_physical,4,1,0.7302509048185384,0.05733802024746906
learned_vla_style,semantic_plus_physical,4,2,0.7218922744031997,0.05851403730783652
learned_vla_style,semantic_plus_physical,4,3,0.7771918427188789,0.043461098612673416
learned_vla_style,semantic_plus_physical,8,1,0.8107324474408353,0.007123875307937423
learned_vla_style,semantic_plus_physical,8,2,0.805964120412334,0.005701016903369774
learned_vla_style,semantic_plus_physical,8,3,0.8472990282072297,0.0038531987387393617
learned_vla_style,semantic_plus_physical,16,1,0.8519381812336784,0.00023393673131692018
learned_vla_style,semantic_plus_physical,16,2,0.8430425000095045,8.37714767118756e-05
learned_vla_style,semantic_plus_physical,16,3,0.8687874109517579,8.091709075787749e-05
learned_vla_style,semantic_plus_physical,32,1,0.8779122381626343,1.5663128221484587e-07
learned_vla_style,semantic_plus_physical,32,2,0.84840254187511,8.310896373187896e-09
learned_vla_style,semantic_plus_physical,32,3,0.868061715176333,5.081882414663691e-08
learned_vla_style,semantic_plus_physical,64,1,0.9262072172518632,1.2599038523098393e-16
learned_vla_style,semantic_plus_physical,64,2,0.869220184312282,1.3323076068914313e-20
learned_vla_style,semantic_plus_physical,64,3,0.8813234044545852,3.148809236136607e-17
learned_vla_style,semantic_plus_physical,128,1,1.0,0.0
learned_vla_style,semantic_plus_physical,128,2,0.89375,0.0
learned_vla_style,semantic_plus_physical,128,3,1.0,0.0
learned_vla_style,calibrated,1,1,0.4658447265625,0.447265625
learned_vla_style,calibrated,1,2,0.4575439453125,0.4580078125
learned_vla_style,calibrated,1,3,0.49473470052083335,0.4189453125
learned_vla_style,calibrated,2,1,0.6858037032480315,0.2730376476377953
learned_vla_style,calibrated,2,2,0.6748838249466864,0.2947527066929134
learned_vla_style,calibrated,2,3,0.7197389938074147,0.23949618602362205
learned_vla_style,calibrated,4,1,0.8755052622328459,0.11909417182227221
learned_vla_style,calibrated,4,2,0.865785160497516,0.14410638123359581
learned_vla_style,calibrated,4,3,0.9019994396533767,0.09207601002999626
learned_vla_style,calibrated,8,1,0.9740556336812369,0.02044606767939084
learned_vla_style,calibrated,8,2,0.9688222467824585,0.03314667075314436
learned_vla_style,calibrated,8,3,0.9838824723165368,0.01193360582171359
learned_vla_style,calibrated,16,1,0.9982972817334596,0.0006929985187601084
learned_vla_style,calibrated,16,2,0.9967812005804406,0.0023924012192662234
learned_vla_style,calibrated,16,3,0.9981947908158498,0.00015983867674328225
learned_vla_style,calibrated,32,1,0.9999935781024589,2.457427236798777e-06
learned_vla_style,calibrated,32,2,0.9994723884383583,3.798721325024048e-05
learned_vla_style,calibrated,32,3,0.997972725211819,2.2176794450488426e-08
learned_vla_style,calibrated,64,1,0.9999999999977867,8.924907186976306e-13
learned_vla_style,calibrated,64,2,0.9994795139784894,2.0264566785212717e-09
learned_vla_style,calibrated,64,3,0.9969515461951322,7.031233151786676e-19
learned_vla_style,calibrated,128,1,1.0,0.0
learned_vla_style,calibrated,128,2,0.9994791666666667,0.0
learned_vla_style,calibrated,128,3,0.9965277777777777,0.0
learned_vla_style,grounded_combined,1,1,0.4658447265625,0.447265625
learned_vla_style,grounded_combined,1,2,0.4575439453125,0.4580078125
learned_vla_style,grounded_combined,1,3,0.49473470052083335,0.4189453125
learned_vla_style,grounded_combined,2,1,0.614787552801017,0.3146069143700787
learned_vla_style,grounded_combined,2,2,0.6069857539780183,0.32175812007874016
learned_vla_style,grounded_combined,2,3,0.6587072978182414,0.27208415354330706
learned_vla_style,grounded_combined,4,1,0.7936186387346114,0.19718727737157854
learned_vla_style,grounded_combined,4,2,0.7856091427048182,0.20312796447319087
learned_vla_style,grounded_combined,4,3,0.8395392543705475,0.14834653871391076
learned_vla_style,grounded_combined,8,1,0.9428615639931296,0.0756332685422246
learned_vla_style,grounded_combined,8,2,0.9355358390942592,0.08196962343115397
learned_vla_style,grounded_combined,8,3,0.9656941962817435,0.0431101046631345
learned_vla_style,grounded_combined,16,1,0.9955980488358657,0.008002872989693627
learned_vla_style,grounded_combined,16,2,0.9931003964372898,0.011284522997066043
