semantic_physical_misalignment,distractor_salience,obstacle_density,hidden_constraint_rate,verifier_false_positive_rate,verifier_false_negative_rate,label_noise,label_budget_fraction,pilot_label_count,tail_label_count,confidence_radius,raw_high_n_utility,tailguard_utility,certified_tailguard_utility,oracle_high_n_utility,random_high_n_utility,verifier_filtered_high_n_utility,calibrated_high_n_no_certificates_utility,certificate_only_utility,tailguard_gain_over_raw,raw_violation_rate,tailguard_violation_rate,certified_violation_rate,verifier_filtered_violation_rate,calibrated_no_certificate_violation_rate,certificate_only_violation_rate,tailguard_selected_N_mean,certified_candidate_count_mean,fallback_rate,abstention_rate,tailguard_gate,allow_high_n_rate,stop_early_rate,collect_pilot_labels_rate,block_high_n_rate,certificate_failure_reach_envelope_rate,certificate_failure_swept_volume_collision_rate,certificate_failure_receptacle_compatibility_rate,certificate_failure_stability_margin_rate,certificate_failure_fragile_heavy_handling_rate,certificate_failure_tool_object_match_rate,certificate_failure_blocked_path_constraints_rate,certificate_failure_hidden_obstacle_rate
0.7,0.6,0.55,0.12,0.14,0.1,0.0,0.005,4,2,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.048250000000000064,0.9791666666666666,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.08333333333333333,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.05,0.005,4,1,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.06350000000000004,0.9883333333333333,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.041666666666666664,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.1,0.005,4,1,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.0504166666666667,0.9258333333333333,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.2,0.005,4,1,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.10400000000000008,1.0,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.0,0.01,7,2,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.06350000000000004,1.0,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.0,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.05,0.01,7,2,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.0504166666666667,0.9922222222222222,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.027777777777777776,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.1,0.01,7,2,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.0800833333333334,0.9762345130503024,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.08432173130638043,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.2,0.01,7,2,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.05866666666666673,0.2711771464646466,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,1.0,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.0,0.02,13,3,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.0800833333333334,0.8291186054195633,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.28931834204667023,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
0.7,0.6,0.55,0.12,0.14,0.1,0.05,0.02,13,3,1.0,0.001122023809523819,0.0,0.0,1.0,0.5391666666666667,0.10400000000000008,0.9966666666666667,1.0,-0.001122023809523819,1.0,0.0,0.0,1.0,0.011904761904761906,0.0,1.0,18.416666666666668,1.0,1.0,collect_pilot_labels,0.0,0.0,1.0,0.0,0.4752604166666667,0.5182291666666666,0.13151041666666666,0.23046875,0.24479166666666666,0.22526041666666666,0.28125,0.018229166666666668
