experiment,method,N,selected_real_utility,selected_semantic_score,selected_physical_feasibility,exact_selected_utility,mc_selected_utility_mean,mc_ci_low,mc_ci_high,exact_law_prediction_error,semantic_real_tail_gap,top_score_tail_real_utility,overall_rank_correlation,tail_rank_correlation,high_N_regret,oracle_minus_method_gap,violation_rate,wrong_object_rate,wrong_target_rate,collision_rate,unreachable_rate,fragile_rate,stability_failure_rate,instruction_satisfaction_proxy,physical_success,calibration_improvement,marginal_value_per_added_candidate,deployment_gate,seed_count,pool_count
semantic_distractors_object_binding,raw_semantic,1,0.4093831380208333,0.8602216266370379,0.85595703125,0.4093831380208333,0.4093460648148148,0.39573719309620853,0.42295493653342103,3.7073206018534144e-05,0.4508384886162045,0.4093831380208333,-0.09719112391941742,-0.09719112391941742,0.0,0.0,0.3577473958333333,0.4036458333333333,0.14420572916666666,0.21809895833333334,0.18782552083333334,0.140625,0.1865234375,0.8602216266370379,0.4093831380208333,0.0,0.0,collect_pilot_labels,3,24
semantic_distractors_object_binding,raw_semantic,2,0.3930395785487752,0.9127102818140518,0.7863575158573929,0.3930395785487752,0.39842592592592596,0.3847176508874479,0.412134200964404,0.005386347377150769,0.49998698741194714,0.4278428819444444,-0.09719112391941742,-0.3889989725581009,0.21805666625656167,0.21805666625656167,0.5029937664041996,0.29845903051181105,0.029419906496062992,0.3057460834973753,0.30545132053805774,0.21842960547900261,0.2853510498687664,0.9127102818140518,0.3930395785487752,0.0,-0.016343559472058122,collect_pilot_labels,3,24
semantic_distractors_object_binding,raw_semantic,4,0.35027028652668424,0.941904553891718,0.6824945716420864,0.35027028652668424,0.34548900462962967,0.33286458490140053,0.3581134243578588,0.004781281897054568,0.6770882766919026,0.2820963541666667,-0.09719112391941742,-0.24235355063182915,0.45969262813502476,0.45969262813502476,0.7185826576365454,0.14204364298212724,0.0014356174228221472,0.43348617555618046,0.4835090535558055,0.319432959551931,0.42453774528183974,0.941904553891718,0.35027028652668424,0.0,-0.042769292022090954,block_high_n,3,24
semantic_distractors_object_binding,raw_semantic,8,0.2770132508484931,0.9633438916550902,0.5948966765621718,0.2770132508484931,0.27440682870370364,0.2636018009864805,0.2852118564209268,0.0026064221447894553,0.7463102351834993,0.2280815972222222,-0.09719112391941742,-0.07852077344335055,0.6648476157405725,0.6648476157405725,0.9012118682481575,0.03695408213403806,2.5790082571671206e-05,0.5614810332549217,0.6571989480771094,0.3855810539901436,0.5289471438950565,0.9633438916550902,0.2770132508484931,0.0,-0.07325703567819114,block_high_n,3,24
semantic_distractors_object_binding,raw_semantic,16,0.22828423971714837,0.977238597851067,0.5607280699502882,0.22828423971714837,0.2311429398148148,0.22163003215367783,0.24065584747595176,0.0028587000976664223,0.7820753981346575,0.20125868055555554,-0.09719112391941742,0.05431864380396062,0.7628208589444901,0.7628208589444901,0.9693096826684345,0.0035079117053343416,4.906222319439844e-08,0.6326251933776909,0.756689513450754,0.38693596501291044,0.5559944954009617,0.977238597851067,0.22828423971714837,0.0,-0.04872901113134473,block_high_n,3,24
semantic_distractors_object_binding,raw_semantic,32,0.21553019747624577,0.9859325756111694,0.5617381198840183,0.21553019747624577,0.21788483796296296,0.20850476538297927,0.22726491054294665,0.0023546404867171855,0.7685151978273458,0.21930555555555556,-0.09719112391941742,-0.015611314931381149,0.7841423988935534,0.7841423988935534,0.9666055411260545,4.0831550612416714e-05,1.327990650258708e-14,0.6552381106945618,0.7906498043810454,0.36064525036219575,0.5313967167046205,0.9859325756111694,0.21553019747624577,0.0,-0.012754042240902597,block_high_n,3,24
semantic_distractors_object_binding,raw_semantic,64,0.22220876305111928,0.9920250847281963,0.5732195901596762,0.22220876305111928,0.22108217592592588,0.2112522232671755,0.23091212858467627,0.0011265871251933957,0.7685151978273458,0.21930555555555556,-0.09719112391941742,-0.015611314931381149,0.7777910165634156,0.7777910165634156,0.9465179350903615,5.519672306133729e-10,0.0,0.673861490410481,0.8001694583949336,0.3447143261840185,0.46121880661359577,0.9920250847281963,0.22220876305111928,0.0,0.006678565574873507,block_high_n,3,24
semantic_distractors_object_binding,raw_semantic,128,0.2236111111111111,0.9963828364480616,0.5833333333333334,0.2236111111111111,0.22372685185185182,0.2128922710262939,0.23456143267740973,0.00011574074074072183,0.7685151978273458,0.21930555555555556,-0.09719112391941742,-0.015611314931381149,0.7763888888888889,0.7763888888888889,0.9166666666666666,0.0,0.0,0.7291666666666666,0.8333333333333334,0.3125,0.375,0.9963828364480616,0.2236111111111111,0.0,0.0014023480599918148,block_high_n,3,24
semantic_distractors_object_binding,semantic_plus_physical,1,0.4093831380208333,0.8602216266370379,0.85595703125,0.4093831380208333,0.4228385416666666,0.4091010785777704,0.43657600475556285,0.013455403645833308,0.4508384886162045,0.4093831380208333,0.45815050685227754,0.45815050685227754,0.0,0.0,0.3577473958333333,0.4036458333333333,0.14420572916666666,0.21809895833333334,0.18782552083333334,0.140625,0.1865234375,0.8602216266370379,0.4093831380208333,0.0,0.0,collect_pilot_labels,3,24
semantic_distractors_object_binding,semantic_plus_physical,2,0.49092189892279087,0.874819401238064,0.9539580257545932,0.49092189892279087,0.47785590277777773,0.4633436657659613,0.49236813978959415,0.013065996145013137,0.3807611086759121,0.49494900173611106,0.45815050685227754,0.34135781595931824,0.120174345882546,0.120174345882546,0.1458845964566929,0.4798997293307086,0.09794844980314961,0.08736005167322836,0.06758017552493438,0.03968022063648294,0.05456959481627297,0.874819401238064,0.49092189892279087,0.09788232037401567,0.08153876090195755,allow_high_n,3,24
